internal_id,Award ID,Recipient Name,Award Amount,Description,Awarding Agency,Awarding Sub Agency,Period of Performance Start Date,Period of Performance Current End Date,NAICS Code,NAICS Description,PSC Code,awarding_agency_id,agency_slug,generated_internal_id,_searched_as,Company
298205435,FA486118PB147,"ENGILITY SERVICES, LLC",39922.0,JRE HELP DESK FOR YEAR 2018,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA486118PB147_9700_-NONE-_-NONE-,Engility,SAIC
308036431,IND16PD01131,SCIENCE APPLICATIONS INTERNATIONAL CORP,39750.0,IGF::OT::IGF FOUNDATION CLOUD HOSTING SERVICES IDIQ  FIRENET,Department of the Interior,Departmental Offices,,,,,,209.0,department-of-the-interior,CONT_AWD_IND16PD01131_1406_IND13PC00025_1406,Science Applications International Corporation,SAIC
291514734,75F40118F01030,"ENGILITY SERVICES, LLC",38080.25,IGF::OT::IGF SCIENTIFIC COMPUTING VIRTUAL MACHINE SERVICE AND CALVERTON MOVE SUPPORT,Department of Health and Human Services,Food and Drug Administration,,,,,,806.0,department-of-health-and-human-services,CONT_AWD_75F40118F01030_7524_HHSF223201610046I_7524,Engility,SAIC
298613056,FA877317F0076,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,37869.0,"IGF::CL::IGF CYBER ASSESSMENT, ENGINEERING, AND TECHNICAL SERVICES (CAETS) 2 LABOR FOR DEFENSE LANGUAGE INSTITUTE (DLI) CYBER VULNERABILITY ASSESSMENT (CVA)",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA877317F0076_9700_FA877317D0003_9700,Science Applications International Corporation,SAIC
291506633,75D30121P11314,ITASCA CONSULTING GROUP INC,37755.0,ITASCA SOFTWARE LICENSE FOR SPOKANE,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,,,806.0,department-of-health-and-human-services,CONT_AWD_75D30121P11314_7523_-NONE-_-NONE-,TASC,SAIC
277749962,140D0419P0088,"ENGILITY SERVICES, LLC",37025.63,CHANGE DOCUMENT NUMBER FROM NBCHF020126 TO 140D0419P0088 IN ORDER TO PAY FINAL INVOICE,Department of the Interior,Departmental Offices,,,,,,209.0,department-of-the-interior,CONT_AWD_140D0419P0088_1406_-NONE-_-NONE-,Engility,SAIC
291076280,6973GH21F00689,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,35419.02,TASK 19 - ESC OPM QUALITY ASSURANCE 6973GH-19-D-00031 - OPTION YR 2 COR:  JENNIFER SOLORIO,Department of Transportation,Federal Aviation Administration,,,,,,731.0,department-of-transportation,CONT_AWD_6973GH21F00689_6920_6973GH19D00031_6920,Science Applications International Corporation,SAIC
298150424,FA480020P0097,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,35230.8,"PRODUCT/SERVICE EXTENDED BY VENDOR JRE HELP DESK / INTERIM SUPPORT PROVIDED. PERIOD OF PERFORMANCE FOR S/N 3266, 5126, 5127: 1 APR 20 - 15 SEP 20 POP FOR 5149, 5150: 11 FEB 20 - 15 SEP 20. SOLE-SOURCE",Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA480020P0097_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
298507866,FA852719F0027,"LEIDOS, INC.",33546.21,GEOROVER OPERATIONAL SOFTWARE LICENSES,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA852719F0027_9700_GS35F116AA_4732,SAIC,SAIC
279027492,2032H523F00316,SCIENCE APPLICATIONS INTERNATIONAL CORP,33386.0,IBM GDPS MAINTENANCE,Department of the Treasury,Internal Revenue Service,,,,,,456.0,department-of-the-treasury,CONT_AWD_2032H523F00316_2050_TIRNO13D00001_2050,Science Applications International Corporation,SAIC
292048148,89603021P0032,ITASCA CONSULTING GROUP INC,32737.5,FLAC,Department of Energy,Federal Energy Regulatory Commission,,,,,,930.0,department-of-energy,CONT_AWD_89603021P0032_8960_-NONE-_-NONE-,TASC,SAIC
279027070,2032H522F00468,SCIENCE APPLICATIONS INTERNATIONAL CORP,32555.5,IBM MAINTENANCE,Department of the Treasury,Internal Revenue Service,,,,,,456.0,department-of-the-treasury,CONT_AWD_2032H522F00468_2050_TIRNO13D00001_2050,Science Applications International Corporation,SAIC
310859078,N6449819F4320,"LEIDOS, INC.",32040.0,"20.1"" INTELLIGENT DISPLAY SYSTEM",Department of Defense,Department of the Navy,,,,,,1173.0,department-of-defense,CONT_AWD_N6449819F4320_9700_N6449816D0005_9700,SAIC,SAIC
298217495,FA487721P0017,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,31628.0,JRE HELP DESK SUPPORT FOR ONE YEAR,Department of Defense,Department of the Air Force,,,,,,1173.0,department-of-defense,CONT_AWD_FA487721P0017_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
353390956,W912CN25PA059,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,30368.0,HELP DESK SUPPORT FOR JOINT RANGE EXTENSION (JRE) SYSTEM,Department of Defense,Department of the Army,,,,,,1173.0,department-of-defense,CONT_AWD_W912CN25PA059_9700_-NONE-_-NONE-,Science Applications International Corporation,SAIC
